                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0428,                  1.966,                 1.3036,                0.60591,                0.62991,                0.61994,                0.37428,                 1.4318,                 3.3246,                 1.8522,             0.00055222,             0.00055222,             0.00055222
                      2,                  1.122,                  1.489,                 1.3349,                0.75772,                0.69274,                 0.7714,                0.48258,                 1.2437,                 1.8261,                 1.5789,              0.0010859,              0.0010859,              0.0010859
                      3,                  1.151,                 1.2756,                 1.3531,                0.87217,                0.81403,                0.89064,                0.60387,                 1.1481,                 1.0404,                 1.4229,              0.0015977,              0.0015977,              0.0015977
                      4,                  1.101,                 1.1146,                 1.3159,                0.86297,                0.79374,                0.89145,                0.63016,                 1.0938,                0.94212,                 1.3872,               0.001568,               0.001568,               0.001568
                      5,                 1.0804,                 1.0353,                 1.2991,                0.72762,                0.75092,                0.79001,                 0.5335,                 1.2568,                  1.238,                 1.5145,               0.001535,               0.001535,               0.001535
                      6,                 1.0298,                 0.9762,                 1.2582,                0.91713,                0.90696,                0.95444,                0.71676,                0.94638,                0.70273,                 1.2574,               0.001502,               0.001502,               0.001502
                      7,                 1.0136,                0.89037,                 1.2394,                0.92274,                0.87432,                0.94152,                0.69965,                0.97357,                0.70254,                 1.2686,               0.001469,               0.001469,               0.001469
                      8,                0.96203,                0.84122,                 1.2108,                0.92798,                0.92099,                0.96573,                0.74844,                0.87336,                0.59658,                 1.1958,               0.001436,               0.001436,               0.001436
                      9,                0.94644,                0.80941,                 1.2056,                0.79371,                0.82791,                0.88496,                0.67023,                0.90961,                0.85485,                 1.2425,              0.0014029,              0.0014029,              0.0014029
                     10,                 0.9408,                0.81137,                  1.218,                0.92711,                0.90053,                 0.9574,                0.74863,                0.85194,                0.58826,                 1.1776,              0.0013699,              0.0013699,              0.0013699
                     11,                0.92491,                 0.7635,                 1.1953,                0.94185,                0.93119,                0.96703,                0.74837,                0.87964,                0.56352,                 1.1979,              0.0013369,              0.0013369,              0.0013369
                     12,                0.89097,                 0.7381,                 1.1739,                0.94526,                0.95018,                0.98358,                0.78464,                0.79354,                0.49221,                 1.1536,              0.0013039,              0.0013039,              0.0013039
                     13,                0.88951,                0.72497,                 1.1692,                 0.9665,                0.93288,                0.97709,                0.78124,                 0.8241,                0.51344,                 1.1412,              0.0012709,              0.0012709,              0.0012709
                     14,                0.86007,                0.69982,                 1.1643,                0.96911,                0.95031,                0.98756,                0.79281,                0.78965,                0.47151,                 1.1393,              0.0012379,              0.0012379,              0.0012379
                     15,                0.87738,                0.70124,                 1.1616,                0.97471,                0.93851,                0.98729,                 0.8026,                0.76604,                0.46813,                  1.109,              0.0012049,              0.0012049,              0.0012049
                     16,                0.83816,                0.66454,                 1.1514,                0.95893,                0.95224,                0.97958,                 0.8023,                0.74095,                0.46221,                 1.1095,              0.0011719,              0.0011719,              0.0011719
                     17,                0.83227,                0.64754,                 1.1363,                0.97943,                0.95948,                0.98649,                0.80288,                0.76287,                0.44232,                 1.1147,              0.0011389,              0.0011389,              0.0011389
                     18,                0.82533,                0.65155,                 1.1388,                0.94829,                0.94342,                0.97905,                0.78826,                0.75538,                0.50055,                 1.0998,              0.0011059,              0.0011059,              0.0011059
                     19,                0.81071,                0.61495,                 1.1249,                 0.9518,                0.95704,                0.98136,                0.80282,                0.74564,                0.45215,                 1.1001,              0.0010729,              0.0010729,              0.0010729
                     20,                0.79255,                0.60025,                 1.1052,                0.97283,                0.96368,                0.98613,                0.82073,                0.72819,                0.42493,                 1.0968,              0.0010399,              0.0010399,              0.0010399
                     21,                0.79798,                0.60162,                 1.1166,                0.95251,                0.96445,                0.98838,                0.81393,                 0.7285,                0.41997,                 1.0922,              0.0010069,              0.0010069,              0.0010069
                     22,                0.78165,                0.59809,                 1.1058,                0.96099,                0.96635,                0.98698,                0.83195,                0.68507,                0.41051,                 1.0763,             0.00097386,             0.00097386,             0.00097386
                     23,                0.76964,                0.57467,                 1.0973,                0.96326,                0.97279,                0.98891,                0.82206,                0.71508,                0.39941,                 1.0749,             0.00094085,             0.00094085,             0.00094085
                     24,                0.74831,                0.55642,                 1.0924,                0.96955,                0.96269,                0.98907,                0.83794,                 0.6619,                0.39395,                 1.0507,             0.00090785,             0.00090785,             0.00090785
